CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
3333,0,2,0,1,3,0
3332,0,1,3,0,2,0
3331,2,1,0,1,1,1
3330,1,0,0,3,0,2
3329,1,2,1,1,1,0
3328,1,0,0,2,2,1
3327,1,1,1,0,0,3
3326,2,2,0,1,1,0
3325,1,0,2,1,1,1
3324,1,0,2,0,1,2
3323,1,2,1,1,1,0
3322,1,1,1,0,0,3
3321,2,1,2,0,0,1
3320,1,1,1,0,1,2
3319,0,2,1,1,1,1
3318,2,0,3,0,0,1
3317,0,0,1,1,4,0
3316,1,1,2,1,1,0
3315,0,1,1,1,3,0
3314,2,2,0,0,1,1
3313,0,0,1,2,1,2
3312,1,2,2,1,0,0
3311,1,1,0,2,2,0
3310,2,0,1,1,1,1
3309,0,1,0,1,2,2
3308,1,2,1,2,0,0
3307,1,1,2,0,2,0
3306,0,1,3,1,1,0
3305,1,1,1,1,0,2
3304,3,1,1,0,1,0
3303,1,1,1,0,1,2
3302,2,1,0,1,2,0
3301,0,2,0,2,2,0
3300,1,2,1,0,2,0
3299,1,1,1,2,1,0
3298,1,0,1,1,2,1
3297,1,1,1,2,1,0
3296,0,0,1,1,3,1
3295,1,1,1,1,2,0
3294,0,0,3,1,0,2
3293,2,1,3,0,0,0
3292,2,2,1,1,0,0
3291,1,2,0,0,2,1
3290,0,1,2,2,1,0
3289,1,1,2,1,1,0
3288,1,1,2,0,0,2
3287,1,1,2,1,1,0
3286,0,3,1,1,1,0
3285,0,1,1,2,2,0
3284,0,0,0,1,3,2
3283,2,0,0,0,2,2
3282,2,1,2,0,1,0
3281,2,0,1,1,2,0
3280,1,0,0,1,2,2
3279,1,1,0,1,1,2
3278,0,2,1,2,1,0
3277,2,0,0,1,2,1
3276,2,0,2,1,0,1
3275,1,0,1,1,3,0
3274,3,0,1,1,0,1
3273,2,0,2,1,1,0
3272,0,1,1,2,2,0
3271,0,1,1,2,2,0
3270,2,0,0,3,0,1
3269,2,2,0,0,2,0
3268,1,3,0,0,0,2
3267,2,0,1,0,3,0
3266,0,2,0,0,2,2
3265,0,1,1,3,1,0
3264,0,3,1,1,1,0
3263,1,0,2,1,2,0
3262,1,2,0,1,1,1
3261,1,1,1,1,1,1
3260,1,1,2,1,1,0
3259,1,1,0,2,0,2
3258,1,2,2,0,0,1
3257,2,0,2,0,1,1
3256,1,0,0,4,1,0
3255,1,1,1,1,1,1
3254,2,1,0,2,1,0
3253,0,0,2,1,1,2
3252,1,2,0,0,2,1
3251,1,2,1,1,0,1
3250,3,1,0,1,1,0
3249,1,1,2,1,0,1
3248,1,0,0,2,1,2
3247,1,1,0,3,1,0
3246,2,0,1,0,3,0
3245,0,1,1,1,1,2
3244,1,0,2,1,1,1
3243,2,1,1,0,0,2
3242,0,0,3,1,2,0
3241,0,1,1,1,1,2
3240,1,0,2,1,1,1
3239,1,0,1,2,1,1
3238,0,3,2,0,1,0
3237,0,2,0,2,2,0
3236,1,1,2,1,1,0
3235,0,2,2,0,1,1
3234,1,2,2,1,0,0
3233,1,0,1,1,2,1
3232,0,1,2,2,1,0
3231,3,0,1,1,1,0
3230,1,0,2,0,1,2
3229,2,1,0,2,1,0
3228,1,1,0,2,2,0
3227,1,2,0,1,1,1
3226,0,2,3,1,0,0
3225,1,0,1,2,2,0
3224,1,3,0,0,1,1
3223,2,2,0,1,0,1
3222,0,3,1,0,1,1
3221,3,1,0,0,1,1
3220,0,1,0,3,1,1
3219,0,1,3,1,0,1
3218,2,2,0,0,2,0
3217,1,2,1,0,2,0
3216,0,0,0,2,4,0
3215,1,0,2,2,0,1
3214,0,1,1,0,1,3
3213,0,1,1,1,1,2
3212,1,1,0,1,1,2
3211,0,1,0,1,1,3
3210,0,1,2,1,2,0
3209,1,1,0,1,3,0
3208,1,0,2,0,2,1
3207,1,0,3,2,0,0
3206,2,1,0,0,1,2
3205,2,0,1,0,2,1
3204,2,0,0,2,1,1
3203,1,1,0,0,3,1
3202,0,1,3,1,0,1
3201,3,0,0,2,0,1
3200,0,2,0,1,1,2
3199,0,3,0,0,2,1
3198,1,1,1,2,1,0
3197,1,0,3,2,0,0
3196,1,1,2,1,0,1
3195,1,0,2,1,1,1
3194,2,2,0,2,0,0
3193,2,2,0,0,2,0
3192,0,0,2,1,1,2
3191,0,3,0,1,2,0
3190,0,3,0,0,2,1
3189,0,1,1,1,1,2
3188,3,2,0,1,0,0
3187,2,1,1,1,1,0
3186,2,1,0,2,0,1
3185,4,1,0,1,0,0
3184,0,1,0,3,1,1
3183,0,3,1,0,1,1
3182,0,2,0,1,3,0
3181,2,1,0,0,1,2
3180,1,0,2,1,2,0
3179,2,0,0,1,2,1
3178,1,0,3,1,1,0
3177,0,1,0,1,2,2
3176,0,2,0,2,0,2
3175,0,0,2,1,2,1
3174,0,2,1,1,1,1
3173,1,1,1,0,3,0
3172,0,5,1,0,0,0
3171,1,1,1,2,1,0
3170,0,0,1,2,3,0
3169,0,1,0,2,3,0
3168,1,1,2,0,0,2
3167,1,0,0,2,1,2
3166,0,1,2,2,0,1
3165,0,1,1,2,0,2
3164,0,1,2,1,0,2
3163,2,0,2,0,2,0
3162,1,1,2,0,2,0
3161,0,1,2,1,1,1
3160,2,0,2,1,1,0
3159,0,0,1,2,2,1
3158,0,0,2,1,1,2
3157,0,2,1,2,1,0
3156,1,1,3,1,0,0
3155,2,2,0,1,0,1
3154,0,2,1,1,1,1
3153,0,2,1,0,2,1
3152,0,1,1,2,2,0
3151,0,1,1,2,1,1
3150,2,0,2,0,2,0
3149,2,0,1,3,0,0
3148,3,1,1,0,1,0
3147,0,2,1,2,0,1
3146,1,3,0,2,0,0
3145,2,1,2,1,0,0
3144,0,1,0,2,1,2
3143,1,0,1,2,2,0
3142,1,2,0,0,0,3
3141,2,1,1,0,2,0
3140,0,2,1,1,2,0
3139,1,2,1,1,1,0
3138,1,0,0,2,1,2
3137,2,0,3,1,0,0
3136,0,0,1,3,1,1
3135,1,1,1,0,3,0
3134,1,1,0,2,1,1
3133,0,0,3,2,1,0
3132,1,1,2,1,0,1
3131,0,0,0,3,2,1
3130,2,1,2,1,0,0
3129,1,1,0,2,1,1
3128,2,1,0,0,1,2
3127,0,0,0,1,4,1
3126,2,0,0,1,2,1
3125,1,1,1,1,1,1
3124,0,2,1,0,1,2
3123,0,0,1,1,2,2
3122,1,0,2,1,1,1
3121,1,2,1,2,0,0
3120,2,2,1,1,0,0
3119,2,2,0,0,2,0
3118,1,2,3,0,0,0
3117,2,1,0,0,3,0
3116,1,0,1,2,1,1
3115,1,1,0,0,4,0
3114,0,2,1,1,2,0
3113,0,2,3,0,1,0
3112,0,1,2,0,1,2
3111,2,0,1,1,0,2
3110,1,1,1,0,1,2
3109,0,1,1,2,2,0
3108,0,1,2,1,2,0
3107,1,1,1,0,1,2
3106,2,1,2,0,1,0
3105,1,2,0,2,1,0
3104,0,2,0,3,1,0
3103,3,2,0,1,0,0
3102,2,0,1,1,1,1
3101,3,2,1,0,0,0
3100,1,1,1,0,1,2
3099,1,3,0,1,1,0
3098,0,1,3,1,1,0
3097,0,1,1,2,2,0
3096,1,1,2,1,1,0
3095,1,0,3,0,2,0
3094,0,0,2,1,2,1
3093,2,1,2,0,0,1
3092,0,1,0,2,3,0
3091,1,2,0,2,0,1
3090,2,0,1,2,0,1
3089,2,0,1,1,2,0
3088,1,1,2,0,0,2
3087,0,1,2,2,1,0
3086,0,1,2,1,0,2
3085,2,2,1,1,0,0
3084,0,1,1,1,1,2
3083,0,2,1,1,0,2
3082,3,1,1,1,0,0
3081,2,1,0,3,0,0
3080,0,1,0,1,2,2
3079,2,0,1,1,1,1
3078,2,1,1,1,1,0
3077,0,0,2,1,2,1
3076,0,3,1,0,0,2
3075,1,0,2,1,1,1
3074,0,1,1,2,1,1
3073,0,2,1,0,1,2
3072,0,1,1,3,1,0
3071,0,1,2,0,2,1
3070,2,1,0,1,2,0
3069,0,1,2,1,1,1
3068,0,1,1,2,1,1
3067,2,0,3,0,1,0
3066,4,0,0,0,1,1
3065,1,1,2,1,1,0
3064,3,1,1,0,0,1
3063,2,1,1,0,1,1
3062,1,2,1,1,1,0
3061,1,1,0,2,2,0
3060,1,1,1,1,2,0
3059,2,1,2,1,0,0
3058,2,2,0,1,1,0
3057,2,2,0,1,0,1
3056,0,0,3,1,0,2
3055,1,2,1,2,0,0
3054,1,1,0,1,1,2
3053,0,2,1,1,2,0
3052,2,0,2,1,1,0
3051,2,0,1,1,2,0
3050,1,2,3,0,0,0
3049,0,1,1,1,2,1
3048,1,2,0,1,2,0
3047,2,1,1,1,0,1
3046,0,4,1,0,0,1
3045,2,1,0,0,0,3
3044,0,0,2,1,2,1
3043,1,0,2,2,1,0
3042,1,2,1,0,2,0
3041,1,1,1,2,1,0
3040,1,1,2,1,1,0
3039,1,0,0,3,2,0
3038,2,0,0,1,0,3
3037,0,1,3,0,1,1
3036,1,0,2,2,1,0
3035,1,2,2,0,1,0
3034,0,1,0,3,1,1
3033,1,0,2,1,2,0
3032,0,0,2,2,0,2
3031,3,0,1,1,1,0
3030,0,1,1,2,0,2
3029,1,0,2,0,2,1
3028,0,0,2,1,1,2
3027,2,1,0,2,0,1
3026,0,3,2,0,1,0
3025,1,1,2,0,2,0
3024,0,1,2,0,1,2
3023,1,1,0,0,1,3
3022,0,3,1,1,1,0
3021,0,1,2,1,2,0
3020,0,0,1,1,3,1
3019,1,0,2,1,2,0
3018,0,0,1,1,2,2
3017,0,1,4,0,0,1
3016,2,0,0,1,2,1
3015,2,1,1,1,0,1
3014,1,2,1,0,2,0
3013,0,2,3,1,0,0
3012,1,0,2,1,0,2
3011,1,0,1,3,0,1
3010,0,0,2,1,1,2
3009,0,4,1,0,0,1
